***,Table 1  -  Status Points
32,"Source Loading Data Is Active - On when the real - time feeder loading logic is active and in use. This point does not indicate whether the control is using actual real - time feeder - loading data received from a DNP master or the Default Source Segment Loading setting. Otherwise, off."
33,"Real - Time Load Data May Be Old or Abnormal - On when the received DNP analog output value is less than the real - time three - phase load as sensed by the switch. It is also set if the real - time feeder - loading data have not updated within the configured time interval. Off when new data are received and the analog value is equal to or greater than the local measured load. Otherwise, off."
34,"Overcurrent Timing - On when any overcurrent element is timing. Otherwise, off."
35,"Overcurrent Current, Pole 1 - On if this pole was timing and >20% of trip and a Phase - Overcurrent element has tripped for this pole or another pole. On if the Phase - Overcurrent element for this pole was timing prior to a Ground - Overcurrent or Negative - Sequence element trip. Off when Phase - Overcurrent elements were not timing prior to trip, the IntelliRupter PulseCloser Fault Interrupter closes, or a command to close the IntelliRupter fault interrupter is given."
36,"Overcurrent Current, Pole 2 - On if this pole was timing and >20% of trip and a Phase - Overcurrent element has tripped for this pole or another pole. On if the Phase - Overcurrent element for this pole was timing prior to a Ground - Overcurrent or Negative - Sequence element trip. Off when Phase - Overcurrent elements were not timing prior to trip, the IntelliRupter PulseCloser Fault Interrupter closes, or a command to close the IntelliRupter fault interrupter is given."
37,"Overcurrent Current, Pole 3 - On if this pole was timing and >20% of trip and a Phase - Overcurrent element has tripped for this pole or another pole. On if the Phase - Overcurrent element for this pole was timing prior to a Ground - Overcurrent or Negative - Sequence element trip. Off when Phase - Overcurrent elements were not timing prior to trip, the IntelliRupter PulseCloser Fault Interrupter closes, or a command to close the IntelliRupter fault interrupter is given."
38,"Overcurrent Trip, Any Pole - On when any Overcurrent element on Pole 1, Pole 2, or Pole 3 has tripped. Off when the IntelliRupter fault interrupter closes or a command to close the IntelliRupter fault interrupter is given."
39,Tripped to Lockout - On when the IntelliRupter fault interrupter is in the Lockout state as the result of an event and the IntelliTeam system begins the reconfiguration process. Off when a Close command is received.
40,"Voltage Timing - On when any Voltage element is timing. Otherwise, off."
41,Voltage Trip - On when a Voltage element trips. Off when a Close command is received.
42,"Frequency Timing - On when any Frequency element is timing. Otherwise, off."
43,Frequency Trip - On when any Frequency element trips. Off when a Close command is received.
44,"Sectionalizing Timing - On when any Sectionalizing element is timing. Otherwise, off."
45,Sectionalizing Trip - On when any Sectionalizing element trips. Off when a Close command is received.
46,IntelliRupter Fault Interrupter Alarm - On when any alarm is active. Turned off automatically when the problem that caused the alarm is resolved.
47,IntelliRupter Fault Interrupter Warning - On when any warning is active. Turned off automatically when the problem that caused the warning is resolved.
48,IntelliRupter Fault Interrupter Error - On when any error is active. Turned off by a user action to clear the error.
49,"Good Source Voltage - Terminal X - On when the X - side terminal voltages equal or exceed the Source Voltage Indication setting for the active profile. Otherwise, off."
50,"Good Source Voltage - Terminal Y - On when the Y - side terminal voltages equal or exceed the Source Voltage Indication setting for the active profile. Otherwise, off."
51,"Wi - Fi Is Connected - On when a Wi - Fi connection to the IntelliRupter fault interrupter is established. Otherwise, off."
52,"Wi - Fi Intrusion Alarm - On when the Wi - Fi module reports a replay attack or improper authentication. Turned off by the user with control point 21, Clear Wi - Fi Intrusion Alarm."
53,Testing - On when the IntelliRupter fault interrupter is circuit testing. Off when the IntelliRupter fault interrupter closes or a command to close the IntelliRupter fault interrupter is given.
54,"Close Blocked by Synch. Check - On when the Close operation is blocked by the Synch. Check feature (i.e., different voltage magnitude, phase angle, or frequency on each side of the IntelliRupter fault interrupter). Off when a Close command is received."
55,"Pulseclosing, Fault Detected - On when a fault is detected during the PulseClosing Technology operation. Off when the IntelliRupter fault interrupter closes or a Close command is received."
56,"IntelliTeam Prohibit Restoration Timer Exceeded - On when the Prohibit Restoration Timer expires for any team in which this IntelliRupter fault interrupter is a member. Countdown starts when a transfer process begins at the team, usually when a sectionalizing event occurs. Timers in adjacent teams may start simultaneously. Each team decrements its timer independently so teams can potentially enter the Prohibit Restoration state asynchronously. Off when local manual operations have been cleared, all local trouble indications are cleared, and the Prohibit Restoration state is not active locally."
57,"IntelliTeam Prohibit Restoration Enabled - On when the IntelliRupter fault interrupter receives a Prohibit Restoration command locally or from SCADA. No switch on any team in which this IntelliRupter fault interrupter is a member is allowed to automatically close, preventing automatic load restoration. Off when the Prohibit Restoration feature receives a SCADA Latch - Off command."
58,"Setup Data Revision - On when the configuration entries for any enabled team defined in the control are modified. It remains on until the Team Setup parameter on the Setup>Team screen has been toggled from Stopped mode back to Running mode for any team where the configuration entries have been changed. Otherwise, off."
59,"IntelliTeam Automatic Transfer In Progress - On when any team defined in the IntelliRupter fault interrupter is actively performing an Automatic Transfer operation. Otherwise, off."
60,"IntelliTeam Return To Normal In Progress - On when any team defined in the IntelliRupter fault interrupter is actively performing a Return - to - Normal operation. Otherwise, off."
61,"IntelliTeam Fault Pole 1 - On when the Phase - Overcurrent element on Pole 1 or any of the Negative Sequence, Ground, or Sensitive Earth Overcurrent elements exceed 50% of the trip time setting. Turned off by the IntelliTeam system."
62,"IntelliTeam Fault Pole 2 - On when the Phase - Overcurrent element on Pole 2 or any of the Negative Sequence, Ground, or Sensitive Earth Overcurrent elements exceed 50% of the trip time setting. Turned off by the IntelliTeam system."
63,"IntelliTeam Fault Pole 3 - On when the Phase - Overcurrent element on Pole 3 or any of the Negative Sequence, Ground, or Sensitive Earth Overcurrent elements exceed 50% of the trip time setting. Turned off by the IntelliTeam system."
64,IntelliTeam Team Member Not Transfer Ready - On when an IntelliRupter fault interrupter operation is not consistent with the expected team operation. A variety of manual operations will take the IntelliRupter fault interrupter out of the Ready state. Off when local manual operations and all local trouble indications have been cleared.
65,"Not All IntelliTeam Teams Transfer Ready - On when any team in which this IntelliRupter fault interrupter is a member is not fully operational. This may be due to conditions of individual team members, team - wide conditions such as the isolation of a fault or during configuration or coordination problems, or when the IntelliTeam SG Restoration system is set to the Disabled state on the IntelliTeam SG>Team Summary screen. Off when all conditions that caused this status point to be set initially have been cleared. Unless otherwise prohibited, team member IntelliRupter fault interrupters will revert to standalone basic protection when the Not Transfer Ready state is active, whether due to local conditions or conditions at adjacent team members."
66,"IntelliTeam Team 1 Transfer Ready - On when team 1 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
67,"IntelliTeam Team 2 Transfer Ready - On when team 2 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
68,"IntelliTeam Team 3 Transfer Ready - On when team 3 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
69,"IntelliTeam Team 4 Transfer Ready - On when team 4 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
70,"IntelliTeam Team 5 Transfer Ready - On when team 5 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
71,"IntelliTeam Team 6 Transfer Ready - On when team 6 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
72,"IntelliTeam Team 7 Transfer Ready - On when team 7 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
73,"IntelliTeam Team 8 Transfer Ready - On when team 8 is in the Ready to Transfer state. Off when any member of team 7 is set to Manual Operation mode, has any trouble indication active, has the Prohibit Restoration state active, or when the line section represented by team 7 contains a fault."
74,"IntelliTeam Manual Operation Team Condition - On when any member of a team registers a manual Open or Close switch operation that puts that team in the not Ready state. Some manual operations will not cause this condition, such as closing a source switch on a previously faulted team to allow a Return To Normal operation when the Return To Normal state is Enabled. Turned off by using the Clear Manual Operation button on the IntelliTeam SG>Team Summary screen. Also turned off by issuing SCADA control point #23, IntelliTeam Clear Manual Operation."
75,Sensitive Earth Trip Blocked - On when the Sensitive Earth Trip feature is blocked. Off when the Sensitive Earth Trip feature is enabled.
76,"Overcurrent Timing - Sensitive Earth Fault - On when the Sensitive Earth element is timing. Otherwise, off."
77,Overcurrent Trip - Sensitive Earth Fault - On when the Sensitive Earth element trips. Off when the IntelliRupter fault interrupter closes or a Close command is received.
78,Tripped to Lockout - Sensitive Earth Fault - On when the IntelliRupter fault interrupter locks out as the result of a Sensitive Earth Trip element and the IntelliTeam system begins the reconfiguration process. Off when a Close command is received.
79,"Loop Restoration Enabled - On when the Loop Restoration system is enabled. Otherwise, off."
80,"Loop Restoration Ready - On when the Loop Restoration system is in the Ready state. Otherwise, off."
81,"Loop Restoration Timing - On when the loop restoration timer is running. Otherwise, off."
82,"Loop Restoration Reconfigured - On when the Loop Restoration system closes a normally open device, a normally open device locks out after testing, a normally closed device opens and locks out, or a normally closed device trips, then closes, and is now serving load in the opposite direction. Otherwise, off. This point is reset when a manual Open or Close command is received."
83,"Current Flowing In Direction 1 - On when current flows in Direction 1, as configured for this IntelliRupter fault interrupter on the Setup>General screen. Otherwise, off."
84,"Current Flowing In Direction 2 - On when current flows in Direction 2, as configured for this IntelliRupter fault interrupter on the Setup>General screen. Otherwise, off."
85,Close Blocked Due to Pulseclosing Not Available - On when a closing operation is blocked due to a PulseClosing Technology operation not being available and the user setting for Conventional Close if PulseClosing Not Available is set to No. The switch can still be closed by issuing a command that does not use a PulseClosing Technology operation. Off when a successful Close operation is performed.
86,"Current Restraint - Phase - On when the Phase - Current Restraint mode is in effect for single - phase tripping. Otherwise, off."
87,"Current Restraint - Ground - On when the Ground - Current Restraint mode is in effect for single - phase tripping. Otherwise, off."
88,"Lockout - Pole 1 - On when Pole 1 is in the Lockout state. Otherwise, off."
89,"Lockout - Pole 2 - On when Pole 2 is in the Lockout state. Otherwise, off."
90,"Lockout - Pole 3 - On when Pole 3 is in the Lockout state. Otherwise, off."
91,Pulse Detected Fault - Pole 1 - On when a fault is detected during a test sequence or close attempt by a PulseClosing Technology operation on Pole 1. This point is cleared by the next successful close operation on Pole 1.
92,Pulse Detected Fault - Pole 2 - On when a fault is detected during a test sequence or close attempt by a PulseClosing Technology operation on Pole 2. This point is cleared by the next successful close operation on Pole 2.
93,Pulse Detected Fault - Pole 3 - On when a fault is detected during a test sequence or close attempt by a PulseClosing Technology operation on Pole 3. This point is cleared by the next successful close operation on Pole 3.
94,"Single - Phase Operation Blocked - On when a Single - Phase Operation function is blocked. Otherwise, off."
95,"Ground Trip Block Lever Applied - On when the GROUND TRIP BLOCK lever is applied. Otherwise, off."
96,"Battery Disconnected - On when the battery is disconnected or no battery is installed. Otherwise, off."
97,"Battery Test In Progress - On when a battery test is performed. Otherwise, off."
98,"GPS Not Active Time Source - On when the GPS feature is not the active time source. Otherwise, off."
99,Communication Test - Toggles the state each time a Test Communication (control point 41) command is received. The initial state on power up is off.
100,"Wi - Fi Disabled by SCADA - On when a Disable Wi - Fi (control point 42) command is received. Off when a Enable Wi - Fi (control point 43) command is received. An Enable/Disable Wi - Fi (control point 45) command toggles Wi - Fi communication on and off; on when Wi - Fi is disabled and off when Wi - Fi is enabled. Otherwise, off."
101,"Site Acceptance Test: Script Active - On when an SAT Script has been received and the SAT Manager issues a Start Test command. Otherwise, off."
102,Site Acceptance Test: Switch Closed - On when the SAT process sees a Closed switch status.
103,Site Acceptance Test: Switch Open - On when the SAT process sees an Open switch status.
104,"Site Acceptance Test: Test Prohibited - On when the IntelliLink screenset locally prohibits all SAT activity. All requests issued from the SAT Manager are ignored. Otherwise, off."
105,"Netlist Missing Runners - On when the received runner count doesn’t match the expected runner count. The Rapid Self Healing feature is disabled as long as this is the case. Otherwise, off."
106,"Netlist Settings Propagation - On when the local control is receiving Netlist records from either a download or through propagation. If this is a Netlist download, the status point remains on until all expected runners arrive with the new Netlist. Otherwise, off."
107,Netlist Settings Accepted - On when a new Netlist has been successfully validated. Off when a Netlist is being downloaded or propagated. Off if the user has changed any team settings so they are different from the screenset.
108,"Netlist Propagation Enabled - On when the IntelliLink software screenset or SCADA enables Netlist propagation. Otherwise, off. (Starting with Revision 7.1.x, the Netlist Propagation mode is always in the Enabled state; therefore this status point is always on.)"
109,"IntelliTeam II Mode Active - On when IntelliTeam II software is in use. Otherwise, off."
110,"IntelliTeam Overload Alarm - On when the Post Restoration Load Management system is operational, the substation feeder is supplying sections that it does not normally supply, and an overload condition has been present when sampled for 10 consecutive times, 10 seconds apart. The alarm is cleared the first time an overload condition is not present when sampled or when the feeder is no longer supplying the extra sections."
111,Close Blocked Due to Insufficient Energy - On when a Close operation is prevented because of insufficient storage capacitor energy.
112,"Communication Enhanced Coordination Ready - On when a closed IntelliRupter fault interrupter is active on a General Profile configured for CEC in at least one direction and all source - side IntelliRupter fault interrupters are closed and active on the same General Profile as this IntelliRupter fault interrupter. Otherwise, off."
113,"Communication Enhanced Coordination Shift for X Terminal - On when the IntelliRupter fault interrupter shifts to the slower curve for the X terminal. Otherwise, off."
114,"Communication Enhanced Coordination Shift for Y Terminal - On when the IntelliRupter fault interrupter shifts to the slower curve for the Y terminal. Otherwise, off."
115,Ground Overcurrent Trip - On when the Ground Overcurrent element trips. Off when IntelliRupter fault interrupter closes or a Close command is received.
116,Negative Sequence Overcurrent Trip - On when the Negative Sequence Overcurrent element trips. Off when IntelliRupter fault interrupter closes or a Close command is received.
117,Definite Time Overcurrent Trip - On when any Definite Time Overcurrent element trips. Off when the IntelliRupter fault interrupter closes or a Close command is received.
118,IT Out of Normal Switch State - On when the switch state is not in the Normally Open or Normally Closed state for the IntelliTeam system. Off when the switch state is the Normally Open or Normally Close switch state for the IntelliTeam system.
119,"Overcurrent Fault Detected - On when the fault - detection circuitry detects a Line Fault condition the SCADA operator has not reset. For a normally closed switch, line fault conditions clear automatically once three - phase line voltage has been sensed, the switch is in the Closed position, and 45 minutes have elapsed. For a normally open or normally closed switch, click on one of these options to manually clear the fault: the Clear Faults command in the LCD menu, the Clear Faults button on the Setup>Site Related screen, or the faceplate/screenset pre - assigned User Command button. Note: The Fault condition also clears if the conditions above are met and the Clear Latched Overcurrent Status (control point 46) command is sent."
120,"PLI Open - On when the switch has been opened by the Phase - Loss Isolation (PLI) logic. Otherwise, off."
121,"Loop Restoration Close Blocked–Underfrequency - On when a Loop Restoration close attempt is blocked due to low frequency detection. Off when the IntelliRupter fault interrupter closes, a Close command is received, or the Loop Restoration setting is enabled by a manual - lever operation or by a Wi - Fi or SCADA command."
122,"Any Automatic Timer in Progress - On when any of these timers is active: Overcurrent Timing, Voltage Timing, Frequency Timing, Sectionalizing Timing, Loop Restoration Timing, IntelliTeam Transfer in Progress, IntelliTeam Return to Normal in Progress, Fault Cycling, Pulse Test, or a shutdown is in progress because the Open Under Loss of Control Energy setting is enabled."
123,"Low Single - Phase Low Voltage Alert - On when voltage is below the Low Single - Phase Low Voltage Threshold setting for one second. Off when voltage is above the threshold. To avoid flooding the logs and creating excessive SCADA alerts when the voltage is hovering at the threshold level, the DNP point is not allowed more than one transition (on or off) per minute. The value is computed every second but the alert checks and reports once every 30 seconds. This is configured on the Voltage Trip screen."
124,"Low Three - Phase Low Voltage Alert - On when voltage is below the Low Three - Phase Low Voltage Threshold setting for one second. Off when voltage is above the threshold. To avoid flooding the logs and creating excessive SCADA alerts when the voltage is hovering at the threshold level, the DNP point is not allowed more than one transition (on or off) per minute. The value is computed every second, but the alert checks and reports once every 30 seconds. This is configured on the Voltage Trip screen."
125,"Phase Overcurrent Alert - On when the Phase Overcurrent Alert setting is selected in the active general protection profile and phase current, on any phase in either direction, is above the alert value. The value is computed every second, but the alert checks and reports once every 30 seconds. This is configured on the Initial Trip screen."
126,"Ground Overcurrent Alert - On when the Ground Overcurrent Alert setting is checked in the active general protection profile and ground current in either direction is above the alert value. The value is computed every second, but the alert checks and reports once every 30 seconds. This is configured on the Initial Trip screen."
127,"Ground Overcurrent Timing - On when the Ground Overcurrent element is timing. Otherwise, off."
128,"Phase Pole 1 Overcurrent Timing - On when the Pole 1 Phase Overcurrent element is timing. Otherwise, off."
129,"Phase Pole 2 Overcurrent Timing - On when the Pole 2 Phase Overcurrent element is timing. Otherwise, off."
130,"Phase Pole 3 Overcurrent Timing - On when the Pole 3 Phase Overcurrent element is timing. Otherwise, off."
131,"Phase Any Pole Overcurrent Timing - On when any Phase Overcurrent element is timing. Otherwise, off."
132,"Phase Any Pole Overcurrent Tripped - On when any Phase Overcurrent element trips. Off when the IntelliRupter fault interrupter closes, a Close command is received, or control point 44 is received."
133,IntelliTeam SG Close Blocked–Underfrequency - On when IntelliTeam SG operation is prohibited because of low frequency detection. Off when IntelliTeam SG system operation is enabled by a Wi - Fi or SCADA command.
134,Open - Source Sectionalizing Blocked - On when the Open - Source Sectionalizing element is in the Blocked state. Off when the Open - Source Sectionalizing element is in the Enabled state. When enabled the Open - Source Sectionalizing element will only function if Open - Source Sectionalizing is configured in the active profile.
135,"Comm System has Poor Quality - On when the Bad Health alarm is active on the Link Keep Alive Tests screen and/or the Diagnostic Communications Tests screen. Otherwise, off."
136,VS - SEF Alert X - On when the Voltage Supervised Sens Earth Disable Trip check box is checked and the Voltage Supervised Sens Earth logic has been satisfied for the X direction. The alert automatically resets when the logic is no longer satisfied.
137,VS - SEF Alert Y - On when the Voltage Supervised Sens Earth Disable Trip check box is checked and the Voltage Supervised Sens Earth logic has been satisfied for the Y direction. The alert automatically resets when the logic is no longer satisfied.
138,"IntelliLink Intrusion - On when an IntelliLink software log in attempt failed 3 times. Then, all users are locked out for 1.5 minutes. Otherwise, off."
139,"IntelliLink Session Active - On when user is presently logged in to the control. Otherwise, off."
140,"External Port Linked - On when the External Interface Assembly is detected and the handshake message with the control module is received at least every 30 seconds. Otherwise, off."
141,"Not all Team Xfer Ready for X sec - At least one of the active teams where the local control is a member is not in the Ready state for greater than the configured time. Otherwise, off."
142,"Close Pending Sync Check - When the Sync Check Enabled mode set to the Yes option and the IntelliRupter fault interrupter is open, if a Close or Sync Check Close command is not achieved before the Wait Timer setpoint expires, the Close command is discarded and this point is set to on. This remains on until a subsequent Close command is issued."
143,"PR Remotely Transmitted - On when the local device sends the Prohibit Restoration SCADA command to remote devices in the Remote Prohibit Restoration Transmit List ***Table because of an active Hot Line Tag, Frequency Trip, or Manual Operation state, or when a Prohibit Restoration state is activated via a front panel, IntelliLink software screen, or SCADA command. The status point is cleared when the device receives a Clear Remote Prohibit Restoration Status command from SCADA. Status point = 0x1F00"
144,Enable Restoration Remotely Transmitted - On when the local device sends the Clear Remote Prohibit Restoration Status command to remote devices in the Remote Prohibit Restoration Transmit List ***Table. This event can be triggered by executing a Clear Remote Prohibit Restoration Status command via IntelliLink software or receiving an IT Clear PR to all Devices command from SCADA. The status point is cleared when the device receives the Clear Remote Enable Restoration Status control point. Status point = 0x1F01
145,Pickup and Lockout Direction X - On when any element has picked up and locked out for a fault in direction X. Off when all elements and lockout are reset.
146,Pickup and Lockout Direction Y - On when any element has picked up and locked out for a fault in direction Y. Off when all elements and lockout are reset.
147,Phasor Data Captured - This point is used by the IntelliTeam FMS Feeder Management System. Map this point and configure the unsolicited response setting according to the IntelliTeam Feeder Management System setup instructions.
148,"Leakage Current Check Error - On when one of the per pole Definite Time Delay element for Open Vacuum Bottle Leakage detection algorithm has been satisfied. Otherwise, off."
149,Transfer Trip Enabled - On when the Transfer Trip state is enabled to allow the local device to send an Initiate Transfer Trip command to all non - zero RTU addresses in the Remote Transfer Trip Transmit List ***Table after an Open and Lockout state because of a Protection or Automatic Sectionalizing event. Status point = 0x1F02.
150,"Transfer Trip Prohibit Restoration Initiated - On when an Initiate Transfer Trip control point has been received and executed. Off when the Prohibit Restoration state is no longer active and the control will be allowed to close by an automatic or manual operation. Note: This status point only applies to devices not teamed with a DG source. When teamed with DG, this status point will not get activated, even if a Transfer Trip command is initiated and executed. Status point = 0x021C"
151,Remote Prohibit Restoration Enabled from Local - On when the Enable Remote Transmit from Local P.R. setting is enabled on the local device. Status point = 0x1F03
152,Remote Prohibit Restoration Enabled from SCADA - On when the Enable Remote Transmit from SCADA P.R. setting is enabled on the local device. Status point = 0x1F04
153,DG Reconnect Delay Terminated - On when the DG Reconnect Delay Timer is aborted because of an abnormal system condition. The Transfer Trip Prohibit Restoration (TTPR) state remains active on the device and reconnecting the DG source back on the grid must be performed manually.
154,"Hot Line Tag External Trip - On when the Hot Line Tag mode activated by the External Interface Option command is active. Otherwise, off."
155,"External Interface Ground Trip Applied - On when the External Interface Ground Trip Block input is active. Otherwise, off."
156,"External Interface Maintenance Mode Applied - On when the External Interface Maintenance Mode input is active. Otherwise, off. See the “User Commands” section in 766 - 530."
***,Table 2  -  Analog Input Points
Code,Name - Definition
1,"Voltage, Pole 1X - Primary phase - to - ground or phase - to - phase (1X to 2X voltage depending on setup) measured on Pole 1 Terminal X. Each count equals one Vac RMS."
2,"Voltage, Pole 2X - Primary phase - to - ground or phase - to - phase (2X to 3X voltage depending on setup) measured on Pole 2 Terminal X. Each count equals one Vac RMS."
3,"Voltage, Pole 3X - Primary phase - to - ground or phase - to - phase (3X to 1X voltage depending on setup) measured on Pole 3 Terminal X. Each count equals one Vac RMS."
4,"Voltage, Pole 1Y - Primary phase - to - ground or phase - to - phase (1Y to 2Y voltage depending on setup) measured on Pole 1 Terminal Y. Each count equals one Vac RMS. Note: Because the IntelliRupter fault interrupter voltage sensors are high - impedance sensing devices, they will indicate a presence of voltage on the Y side terminals when the optional disconnect is installed and open. The voltage reading is an artifact of leakage current resulting from parasitic capacitance. Therefore the readings can be quite variable from unit to unit and pole to pole. Humidity and other weather related conditions add to the variability at a given unit."
5,"Voltage, Pole 2Y - Primary phase - to - ground or phase - to - phase (2Y to 3Y voltage depending on setup) measured on Pole 2 Terminal Y. Each count equals one Vac RMS."
6,"Voltage, Pole 3Y - Primary phase - to - ground or phase - to - phase (3Y to 1Y voltage depending on setup) measured on Pole 3 Terminal Y. Each count equals one Vac RMS."
7,90% Voltage Reference Standard - A constant representing 90% of the full - scale value.
8,0% Voltage Reference Standard - A constant representing the zero value.
9,Battery Voltage - Nominally 12 Vdc. If ac power is available the value is updated only during battery testing. If ac power is not available the value is continuously updated. One count equals 0.0293 Vdc.
10,"Current, Pole 1 - Single - phase true RMS current measured on Pole 1. Each count equals one ampere."
11,"Current, Pole 2 - Single - phase true RMS current measured on Pole 2. Each count equals one ampere."
12,"Current, Pole 3 - Single - phase true RMS current measured on Pole 3. Each count equals one ampere."
13,"Residual Current - Vector sum of the fundamental power frequency currents on Pole 1, Pole 2, and Pole 3. Each count equals one ampere."
14,"Fault Current, Pole 1 at Time of Trip - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole regardless of which phase caused the trip. Cleared when this pole is manually closed (by a local command, a SCADA command, or IntelliLink Remote command) or by issuing the Clear Trip Indicators command (control point 44). Each count equals one ampere."
15,"Fault Current, Pole 2 at Time of Trip - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole regardless of which phase caused the trip. Cleared when this pole is manually closed (by a local command, a SCADA command, or IntelliLink Remote command) or by issuing the Clear Trip Indicators command (control point 44). Each count equals one ampere."
16,"Fault Current, Pole 3 at Time of Trip - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole regardless of which phase caused the trip. Cleared when this pole is manually closed (by a local command, a SCADA command, or IntelliLink Remote command) or by issuing the Clear Trip Indicators command (control point 44). Each count equals one ampere."
17,"kW, Pole 1 - Single - phase kW on Pole 1 calculated using instantaneous voltage and current and the respective voltage - current phase angle. Each count equals one kW."
18,"kW, Pole 2 - Single - phase kW on Pole 2 calculated using instantaneous voltage and current and the respective voltage - current phase angle. Each count equals one kW."
19,"kW, Pole 3 - Single - phase kW on Pole 3 calculated using instantaneous voltage and current and the respective voltage - current phase angle. Each count equals one kW."
20,"Total kW - Sum of kW Pole 1, kW Pole 2, and kW Pole 3. Each count equals one kW."
21,"kvar, Pole 1 - Single - phase kvar on Pole 1 calculated using apparent power, true power, and phase angle. Each count equals one kvar."
